Món ăn,Phân loại,Nguyên liệu,Các bước thực hiện,Calo (kcal/100g),Protein (g),Lipid (g),Glucid (g),Ghi chú sức khỏe
Thịt kho tàu,Món mặn,"500g thịt ba chỉ; 5 quả trứng vịt luộc; 1 tô nước dừa; Hành tím, tỏi, nước mắm, đường, nước màu","Thái thịt vuông, ướp gia vị 30 phút; Đảo săn thịt trên bếp; Đổ nước dừa vào kho liu riu; Cho trứng vào kho cùng đến khi thịt mềm",280,15,23,4,Chứa nhiều chất béo bão hòa và đường
Canh chua cá lóc,Món canh,"1 con cá lóc; Dứa, cà chua, đậu bắp, dọc mùng, giá đỗ; Me chua, hành lá, ngò gai; Gia vị","Làm sạch cá và sơ chế rau củ; Đun sôi nước me rồi cho cá vào nấu chín; Cho dứa, cà chua, đậu bắp vào; Thêm giá đỗ, rau thơm và nêm gia vị",55,7,1,5,Ít năng lượng
Rau muống xào tỏi,Món xào,"1 bó rau muống; 2 củ tỏi lớn; Dầu ăn, hạt nêm, nước mắm",Nhặt rau và đập dập tỏi; Chần sơ rau với nước muối; Phi thơm tỏi với dầu ăn; Cho rau vào xào nhanh tay trên lửa lớn và nêm gia vị,90,3,8,4,Giàu sắt và chất xơ
Trứng chiên hành tây,Món mặn,"3 quả trứng; 1/2 củ hành tây; Hành lá, nước mắm, tiêu",Thái nhỏ hành tây và hành lá; Đánh tan trứng với gia vị; Phi thơm hành tây; Đổ trứng vào chiên vàng đều hai mặt,165,12,12,2.5,Cung cấp protein nhanh chóng
Phở bò,Món nước,"300g bánh phở; 250g thịt bò; Xương bò, hành tây, gừng nướng; Hành lá, ngò rí, quế, hồi; Nước mắm, muối","Hầm xương bò với hành tây và gừng để lấy nước dùng; Nêm quế, hồi và gia vị cho thơm; Chần bánh phở và xếp vào tô cùng thịt bò; Chan nước dùng nóng và thêm rau thơm",85,6,2,10,Nước dùng có thể nhiều natri
Bún bò Huế,Món nước,"300g bún sợi to; 300g bắp bò; Giò heo, sả, mắm ruốc; Hành tím, ớt, rau sống; Gia vị","Hầm bắp bò và giò heo cho mềm; Phi sả với mắm ruốc rồi cho vào nước dùng; Chần bún và xếp thịt vào tô; Chan nước dùng, thêm rau sống và ớt",110,7,4,12,"Đậm vị, nên giảm mắm ruốc nếu ăn nhạt"
Bún chả,Món nướng,"300g bún tươi; 250g thịt nạc vai xay; 200g ba chỉ; Tỏi, hành, nước mắm, đường; Đu đủ xanh, rau sống",Ướp thịt xay và ba chỉ với gia vị; Nướng thịt đến khi chín vàng; Pha nước chấm chua ngọt và ngâm đu đủ; Dùng bún với chả nướng và rau sống,180,9,9,15,Cân bằng hơn khi ăn kèm nhiều rau
Gỏi cuốn tôm thịt,Món cuốn,"10 lá bánh tráng; 150g tôm luộc; 150g thịt ba chỉ luộc; Bún, xà lách, hẹ, rau thơm; Tương đậu phộng",Luộc tôm và thịt rồi thái vừa ăn; Chuẩn bị rau sống và bún; Làm mềm bánh tráng rồi cuốn cùng nhân; Pha tương đậu phộng để chấm,125,8,4,14,"Ít dầu mỡ, giàu rau"
Chả giò,Món chiên,"20 bánh tráng cuốn; 200g thịt xay; 100g tôm; Miến, mộc nhĩ, cà rốt; Trứng gà, hành tím, gia vị","Trộn thịt, tôm, miến và rau củ với gia vị; Cuốn nhân vào bánh tráng; Chiên ngập dầu đến khi vàng giòn; Dùng nóng với rau sống và nước chấm",220,10,13,15,"Chiên nhiều dầu, nên ăn lượng vừa phải"
Cá kho tộ,Món mặn,"500g cá basa; Hành tím, tỏi, ớt; Nước mắm, đường, nước màu; Tiêu, hành lá","Sơ chế cá và ướp cùng gia vị; Thắng nước màu rồi cho cá vào đảo nhẹ; Thêm ít nước và kho lửa nhỏ; Rắc tiêu, hành lá trước khi tắt bếp",165,16,8,4,"Giàu đạm, cần lưu ý lượng muối"
Thịt rang cháy cạnh,Món mặn,"400g thịt ba chỉ; Hành tím, nước mắm, đường; Tiêu, hành lá","Thái thịt mỏng vừa ăn; Rang thịt trên chảo cho ra bớt mỡ; Nêm nước mắm, đường và đảo đến khi xém cạnh; Thêm hành lá và tiêu",260,14,21,3,"Nhiều chất béo, nên ăn kèm rau luộc"
Đậu hũ sốt cà chua,Món chay,"4 bìa đậu hũ; 3 quả cà chua; Hành lá, hành tím; Dầu ăn, muối, nước mắm chay",Cắt đậu hũ và chiên sơ vàng mặt; Xào cà chua cho mềm rồi nêm gia vị; Cho đậu vào sốt cùng cà chua; Rắc hành lá trước khi dùng,115,7,7,5,Nguồn đạm thực vật tốt
Canh bí đỏ nấu tôm,Món canh,"300g bí đỏ; 150g tôm tươi; Hành tím, hành lá; Gia vị","Gọt bí đỏ và cắt miếng vừa ăn; Băm tôm và ướp nhẹ; Phi hành rồi xào tôm cho săn; Thêm nước, nấu bí chín mềm và nêm gia vị",60,5,1,8,Giàu beta-carotene
Canh rau ngót thịt băm,Món canh,"1 bó rau ngót; 150g thịt heo băm; Hành tím, nước mắm, tiêu",Tuốt lá rau ngót và vò nhẹ; Ướp thịt băm với hành tím; Đun sôi nước rồi cho thịt vào; Cho rau ngót vào nấu chín và nêm gia vị,50,4,2,4,Giàu vitamin và dễ ăn
Canh mồng tơi nấu cua,Món canh,"1 bó mồng tơi; 200g cua đồng xay; Mướp, hành tím; Gia vị",Lọc cua lấy nước và gạch; Đun nước cua đến khi đóng riêu; Cho mướp và mồng tơi vào nấu nhanh; Nêm gia vị vừa ăn,48,5,1,4,"Thanh mát, ít năng lượng"
